stop_id,stop_code,stop_name,stop_description,wheelchair_boarding,wheelchair_boarding_label,stop_url,access_date
1-6040,6040,A.-Huot,Route 138 / A.-Huot,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6040,2026-09-05
1-6193,6193,Copenhague/6193,de Fossambault / de Copenhague,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6193,2026-09-05
1-6231,6231,Rotterdam/6231,de Rotterdam / au 100,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6231,2026-09-05
1-6274,6274,de la Fraternité,Larue / de la Fraternité,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6274,2026-09-05
1-6362,6362,des Saules,de la Concorde / des Saules Ouest,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6362,2026-09-05
1-6412,6412,de Fossambault,de Copenhague / de Fossambault,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6412,2026-09-05
1-6466,6466,Paquin/6466,de la Roselière / Paquin,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6466,2026-09-05
1-6505,6505,Louis-XIV/6505,Louis-XIV / au 2706,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6505,2026-09-05
1-6550,6550,Vallée/6550,Vallée / au 25,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6550,2026-09-05
1-6588,6588,de l'Éducation,Langevin / de l'Éducation,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6588,2026-09-05
1-6626,6626,E.-Fraîches/6626,des Eaux-Fraîches / au 523,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6626,2026-09-05
1-6665,6665,Pie-XI,Industrielle / Pie-XI Nord,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6665,2026-09-05
1-6719,6719,Chan.-Scott/6719,du Chanoine-Scott / au 770,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6719,2026-09-05
1-6757,6757,8e Rue,4e Avenue / de la Canardière,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6757,2026-09-05
1-6809,6809,La Marche,Monfet / La Marche,0,Information non disponible,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6809,2026-09-05
1-7015,7015,C. Parlementaire,R-Lévesque Est / H.-Mercier,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/7015,2026-09-05
1-7099,7099,Centre Vidéotron,Terminus ExpoCité - Quai A1,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/7099,2026-09-05
1-8601,8601,F.-Prime,Duchesneau / F.-Prime,1,Accessible selon le codage GTFS,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/8601,2026-09-05
1-11464,11464,du L.-St-Charles,Delage / du Lac-Saint-Charles,0,Information non disponible,NA,2026-09-05
