id_unique,nature,activite,type_lieu_intervention,arrondissement,arrondissement_geo,date_creation,annee_creation,mois_creation,provenance_originale
23-258891,Requete,Permis de construction - rénovation,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2023-09-14T14:58:43Z,2023,2023-09-01T00:00:00Z,Téléphone
23-273400,Requete,Nettoyage du domaine public,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2023-09-29T11:57:22Z,2023,2023-09-01T00:00:00Z,Téléphone
23-287317,Requete,Voirie - Divers,Intersection,Le Sud-Ouest,Le Sud-Ouest,2023-10-15T17:00:49Z,2023,2023-10-01T00:00:00Z,Téléphone
23-300692,Requete,Signalisation écrite - Entretien,Adresse,Verdun,Verdun,2023-10-31T15:56:15Z,2023,2023-10-01T00:00:00Z,Téléphone
23-315108,Requete,Nettoyage du domaine public,Adresse,Mercier - Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,2023-11-17T08:26:08Z,2023,2023-11-01T00:00:00Z,Mobile
23-329594,Requete,Fermeture d'entrée d'eau,Adresse,Mercier - Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,2023-12-06T09:04:47Z,2023,2023-12-01T00:00:00Z,Téléphone
23-344176,Requete,Dépôt illégal - Déchets,Adresse,Verdun,Verdun,2023-12-28T11:09:07Z,2023,2023-12-01T00:00:00Z,Téléphone
24-13283,Requete,Opération déneigement,Adresse,Villeray-Saint-Michel - Parc-Extension,Villeray-Saint-Michel-Parc-Extension,2024-01-16T12:03:43Z,2024,2024-01-01T00:00:00Z,Internet
24-27918,Requete,Collecte des encombrants,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2024-02-02T11:38:29Z,2024,2024-02-01T00:00:00Z,Téléphone
24-43181,Requete,Nettoyage du domaine public,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2024-02-27T13:58:06Z,2024,2024-02-01T00:00:00Z,Internet
24-57957,Requete,Mobilier urbain,Adresse,Villeray-Saint-Michel - Parc-Extension,Villeray-Saint-Michel-Parc-Extension,2024-03-19T09:33:41Z,2024,2024-03-01T00:00:00Z,Téléphone
24-73010,Requete,Danger potentiel - Arbre,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2024-04-06T18:42:28Z,2024,2024-04-01T00:00:00Z,Téléphone
24-87704,Requete,Retour DDS,Adresse,LaSalle,LaSalle,2024-04-19T08:09:07Z,2024,2024-04-01T00:00:00Z,Mobile
24-101954,Requete,Nettoyage du domaine public,Adresse,Ville-Marie,Ville-Marie,2024-05-02T13:09:42Z,2024,2024-05-01T00:00:00Z,Téléphone
24-117474,Requete,Entrée charretière,Adresse,Lachine,Lachine,2024-05-16T10:06:33Z,2024,2024-05-01T00:00:00Z,Téléphone
24-131543,Requete,Branche tombée,Adresse,Lachine,Lachine,2024-05-28T14:04:39Z,2024,2024-05-01T00:00:00Z,Téléphone
24-146477,Requete,Signalisation non autorisée - Analyse,Adresse,Rivière-des-Prairies - Pointe-aux-Trembles,Rivière-des-Prairies-Pointe-aux-Trembles,2024-06-07T19:24:02Z,2024,2024-06-01T00:00:00Z,Mobile
24-160909,Requete,Pavage - Réparation,Adresse,Verdun,Verdun,2024-06-20T12:53:41Z,2024,2024-06-01T00:00:00Z,Mobile
24-175146,Requete,Pression Faible/Forte,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2024-07-04T09:22:33Z,2024,2024-07-01T00:00:00Z,Téléphone
24-189524,Requete,Collecte de résidus alimentaires,Adresse,Rivière-des-Prairies - Pointe-aux-Trembles,Rivière-des-Prairies-Pointe-aux-Trembles,2024-07-16T09:55:59Z,2024,2024-07-01T00:00:00Z,Téléphone
24-204104,Requete,Dépôt illégal - Déchets,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2024-07-29T11:33:05Z,2024,2024-07-01T00:00:00Z,Téléphone
24-218955,Requete,Fermeture d'entrée d'eau,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2024-08-11T16:53:41Z,2024,2024-08-01T00:00:00Z,Téléphone
24-233220,Requete,Stationnement - Études,Adresse,LaSalle,LaSalle,2024-08-23T10:23:55Z,2024,2024-08-01T00:00:00Z,Personne
24-247388,Requete,Bac roulant - Déchets,Adresse,Verdun,Verdun,2024-09-05T09:16:52Z,2024,2024-09-01T00:00:00Z,Téléphone
24-261368,Requete,Trottoir ou bordure - Réparation,Adresse,Montréal-Nord,Montréal-Nord,2024-09-17T16:21:25Z,2024,2024-09-01T00:00:00Z,Téléphone
24-276439,Requete,Prise de rendez-vous,Adresse,Côte-des-Neiges - Notre-Dame-de-Grâce,Côte-des-Neiges-Notre-Dame-de-Grâce,2024-10-02T10:41:50Z,2024,2024-10-01T00:00:00Z,Téléphone
24-291390,Requete,Manque d'eau,Adresse,Ville-Marie,Ville-Marie,2024-10-20T09:32:31Z,2024,2024-10-01T00:00:00Z,Téléphone
24-305866,Requete,Collecte des matières recyclables,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2024-11-05T11:32:03Z,2024,2024-11-01T00:00:00Z,Personne
24-321206,Requete,Dépôt illégal - Déchets,Adresse,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,2024-11-23T10:18:02Z,2024,2024-11-01T00:00:00Z,Mobile
24-335862,Requete,Signalisation - Neige,Adresse,Ville-Marie,Ville-Marie,2024-12-13T07:56:02Z,2024,2024-12-01T00:00:00Z,Internet
25-6142,Requete,Collecte des matières recyclables,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2025-01-11T11:04:11Z,2025,2025-01-01T00:00:00Z,Courriel
25-21111,Requete,Dépôt illégal - Déchets,Intersection,Le Sud-Ouest,Le Sud-Ouest,2025-02-01T10:04:01Z,2025,2025-02-01T00:00:00Z,Téléphone
25-35591,Requete,Dépôt Illégal - Neige,Adresse,Montréal-Nord,Montréal-Nord,2025-02-17T12:28:56Z,2025,2025-02-01T00:00:00Z,Téléphone
25-50362,Requete,Collecte de déchets,Adresse,Verdun,Verdun,2025-02-26T10:05:18Z,2025,2025-02-01T00:00:00Z,Mobile
25-64629,Requete,Signalisation non autorisée - Analyse,Adresse,Ahuntsic - Cartierville,Ahuntsic-Cartierville,2025-03-12T10:27:27Z,2025,2025-03-01T00:00:00Z,Téléphone
25-79870,Requete,Changement d'adresse - Taxes foncières,Adresse,Rosemont - La Petite-Patrie,Rosemont-La Petite-Patrie,2025-03-31T13:38:11Z,2025,2025-03-01T00:00:00Z,Téléphone
25-94249,Requete,Nettoyage du domaine public,Adresse,Ville-Marie,Ville-Marie,2025-04-16T08:20:17Z,2025,2025-04-01T00:00:00Z,Mobile
25-108761,Requete,Signalisation non autorisée - Analyse,Adresse,Ville-Marie,Ville-Marie,2025-05-01T08:02:09Z,2025,2025-05-01T00:00:00Z,Mobile
25-123333,Requete,Occupation du domaine public,Adresse,Ville-Marie,Ville-Marie,2025-05-13T17:04:45Z,2025,2025-05-01T00:00:00Z,Téléphone
25-137226,Requete,Fermeture d'entrée d'eau,Adresse,Pierrefonds - Roxboro,Pierrefonds-Roxboro,2025-05-26T13:56:35Z,2025,2025-05-01T00:00:00Z,Téléphone
