Description_infraction,Type_etablissement,Date_infraction,Date_jugement,Date_publication,Amende,SOC_NOM_ARTCL_INFRC,amende_num,ville_montreal,delai_infraction_jugement_jours
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, AU CONDITIONNEMENT, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-09-07,2023-05-11,2023-05-25,750 $,INSALUBRITE,750,FALSE,246
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LES MATERIAUX ET LES USTENSILES SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-07-25,2024-01-18,2024-01-29,500 $,INSALUBRITE,500,FALSE,177
"ETANT EXPLOITANT D'UN LIEU VISE A L'ARTICLE 2.1.1 OU LES SURFACES DU MATERIEL QUI ENTRENT EN CONTACT DIRECT AVEC LES PRODUITS, N'ETAIENT PAS EXEMPTES DE PARTICULES DETACHABLES, D'ASPERITES OU DE FISSURES.",RESTAURANT,2023-05-04,2024-03-28,2024-04-18,500 $,SURFACE LISSE,500,FALSE,329
A EXERCE UNE ACTIVITE VISEE PAR L'ARTICLE 9 DE LA LOI EN ETANT SOUS LE COUP D'UNE SUSPENSION OU D'UNE ANNULATION DE SON PERMIS EN VERTU DE L'ARTICLE 15 DE LA LOI.,RESTAURANT,2023-11-02,2024-09-05,2024-09-19,10 000 $,ACTIVITE SOUS LE COUP D'UNE SUSPENSION DU PERMIS,10000,FALSE,308
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES. (RECIDIVE)",RESTAURANT,2023-03-09,2023-07-14,2023-07-24,750 $,INSALUBRITE,750,FALSE,127
"A EXPLOITE UN ETABLISSEMENT DONT LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-09-14,2023-09-28,2023-10-23,750 $,INSALUBRITE,750,FALSE,379
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LES MATERIAUX ET LES USTENSILES SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES. (RECIDIVE)",RESTAURANT,2022-06-14,2023-10-20,2023-10-30,1 000 $,INSALUBRITE,1000,FALSE,493
A DETENU UN PRODUIT ALTERABLE A LA CHALEUR SANS LE REFROIDIR SANS RETARD OU SANS LE MAINTENIR CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4°C  JUSQU’A SA LIVRAISON AU CONSOMMATEUR.,RESTAURANT,2023-06-15,2024-04-16,2024-04-25,1 500 $,TEMPERATURE ALIMENTS ALTERABLES,1500,FALSE,306
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-03-29,2024-04-04,2024-04-25,500 $,INSALUBRITE,500,FALSE,372
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX ET LES EQUIPEMENTS SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",REST. SERVICE RAPIDE,2022-11-15,2023-06-07,2023-06-22,500 $,INSALUBRITE,500,FALSE,204
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",REST. SERVICE RAPIDE,2023-06-13,2024-04-12,2024-04-25,500 $,INSALUBRITE,500,FALSE,304
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS ET LES MATERIAUX SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-08-31,2023-06-12,2023-06-22,500 $,INSALUBRITE,500,FALSE,285
"A EXPLOITE UN LIEU OU L'ON PREPARE, TRANSFORME, ENTREPOSE OU DETIENT DES PRODUITS EN VUE DE LA VENTE, SANS Y MAINTENIR LES LOCAUX ET LA MATERIEL PROPRE(S). (ETAT GENERALISE)",RESTAURANT,2023-08-01,2024-11-01,2024-11-08,5 000 $,INSALUBRITE,5000,FALSE,458
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LES MATERIAUX ET LES USTENSILES SERVANT A LA PREPARATION, A L'ENTREPOSAGE ET AU SERVICE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2022-08-31,2024-02-08,2024-03-07,750 $,INSALUBRITE,750,FALSE,526
"A EXPLOITE UN LIEU, OU UNE PERSONNE AFFECTEE A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT CONSOMMAIT DES ALIMENTS DANS LE LOCAL OU L'AIRE DE PREPARATION DES PRODUITS DE LAVAGE OU DE NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT.",RESTAURANT,2023-08-14,2024-06-11,2024-06-17,500 $,CONSOMMATION DES ALIMENTS,500,FALSE,302
"A EXPLOITE UN ETABLISSEMENT DONT LES LIEUX, LES EQUIPEMENTS, LE MATERIEL ET LES USTENSILES SERVANT A LA PREPARATION ET A L'ENTREPOSAGE DES PRODUITS N'ETAIENT PAS PROPRES.",RESTAURANT,2023-04-13,2023-09-18,2023-10-02,500 $,INSALUBRITE,500,FALSE,158
A EXERCE UNE ACTIVITE VISEE PAR L'ARTICLE 9 DE LA LOI EN ETANT SOUS LE COUP D'UNE SUSPENSION OU D'UNE ANNULATION DE SON PERMIS EN VERTU DE L'ARTICLE 15 DE LA LOI.,RESTAURANT,2022-07-07,2023-09-07,2024-02-19,10 000 $,ACTIVITE SOUS LE COUP D'UNE SUSPENSION DU PERMIS,10000,FALSE,427
