code_sdr,nom_sdr,idugd,niveau_geo,qualite_geo,c1,symbole_c1,c58,symbole_c58,c63,symbole_c63,c64,symbole_c64,c65,symbole_c65,c68,symbole_c68,c69,symbole_c69,c70,symbole_c70,c78,symbole_c78,c86,symbole_c86,c89,symbole_c89,c97,symbole_c97,c126,symbole_c126,c127,symbole_c127,c128,symbole_c128,c1998,symbole_c1998,c1999,symbole_c1999,c2229,symbole_c2229
2407040,"Sainte-Irène, Paroisse (municipalité de) (PE)",2021A00052407040,Subdivision de recensement,00010,369,,310,,0,,15,,0,,0,,15,,10,,115,,15,,370,,55,,265,,260,,45200,,265,,45,,60.4,
2407047,"Amqui, Ville (V)",2021A00052407047,Subdivision de recensement,00000,5999,,5185,,5,,190,,45,,70,,335,,365,,1690,,235,,5785,,1120,,4970,,4890,,43200,,4970,,1090,,51.3,
2407057,"Lac-au-Saumon, Municipalité (MÉ)",2021A00052407057,Subdivision de recensement,00010,1488,,1250,,0,,50,,5,,20,,70,,145,,380,,45,,1330,,220,,1085,,1065,,43000,,1085,,300,,56.2,
2407065,"Saint-Alexandre-des-Lacs, Paroisse (municipalité de) (PE)",2021A00052407065,Subdivision de recensement,00000,298,,235,,0,,10,,0,,5,,15,,10,,95,,15,,295,,35,,255,,255,,38400,,250,,80,,42,
2407070,"Saint-Tharcisius, Paroisse (municipalité de) (PE)",2021A00052407070,Subdivision de recensement,00000,411,,340,,0,,15,,0,,5,,30,,20,,110,,15,,415,,70,,330,,325,,32400,,330,,130,,45.5,
2407075,"Saint-Vianney, Municipalité (MÉ)",2021A00052407075,Subdivision de recensement,00000,446,,375,,0,,10,,5,,0,,15,,30,,145,,15,,445,,70,,355,,340,,41200,,355,,140,,45.1,
2407080,"Val-Brillant, Municipalité (MÉ)",2021A00052407080,Subdivision de recensement,00000,899,,750,,5,,25,,0,,5,,50,,40,,260,,35,,900,,150,,775,,765,,46600,,770,,115,,45.5,
2407085,"Sayabec, Municipalité (MÉ)",2021A00052407085,Subdivision de recensement,00000,1706,,1480,,10,,65,,10,,20,,80,,100,,500,,75,,1685,,290,,1455,,1440,,37360,,1460,,430,,45.2,
2407090,"Saint-Cléophas, Paroisse (municipalité de) (PE)",2021A00052407090,Subdivision de recensement,00000,321,,285,,0,,5,,5,,10,,10,,15,,100,,20,,320,,35,,330,,325,,33200,,330,,115,,31.8,
2407095,"Saint-Moïse, Paroisse (municipalité de) (PE)",2021A00052407095,Subdivision de recensement,00000,542,,465,,5,,20,,0,,15,,40,,20,,150,,25,,530,,110,,415,,405,,37800,,415,,120,,45.8,
2407100,"Saint-Noël, Village (VL)",2021A00052407100,Subdivision de recensement,00000,392,,330,,0,,10,,0,,0,,15,,30,,95,,10,,380,,75,,335,,335,,41600,,335,,125,,56.7,
2407105,"Saint-Damase, Paroisse (municipalité de) (PE)",2021A00052407105,Subdivision de recensement,00000,382,,300,,0,,15,,5,,0,,20,,15,,100,,10,,380,,60,,345,,340,,40600,,345,,110,,52.2,
2407902,"Routhierville, Non organisé (NO)",2021A00052407902,Subdivision de recensement,09999,20,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407904,"Rivière-Vaseuse, Non organisé (NO)",2021A00052407904,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407906,"Rivière-Patapédia-Est, Non organisé (NO)",2021A00052407906,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407908,"Lac-Casault, Non organisé (NO)",2021A00052407908,Subdivision de recensement,09999,30,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407910,"Ruisseau-des-Mineurs, Non organisé (NO)",2021A00052407910,Subdivision de recensement,09999,5,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407912,"Lac-Alfred, Non organisé (NO)",2021A00052407912,Subdivision de recensement,09999,0,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2407914,"Lac-Matapédia, Non organisé (NO)",2021A00052407914,Subdivision de recensement,09999,10,,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2408005,"Les Méchins, Municipalité (MÉ)",2021A00052408005,Subdivision de recensement,00000,995,,875,,5,,35,,5,,20,,70,,65,,300,,45,,995,,215,,890,,875,,34900,,890,,350,,34.5,
2408010,"Saint-Jean-de-Cherbourg, Paroisse (municipalité de) (PE)",2021A00052408010,Subdivision de recensement,00909,163,,135,,0,,10,,5,,5,,10,,10,,50,,5,,165,,20,,135,,,x,,x,130,,70,,30.8,
2408015,"Grosses-Roches, Municipalité (MÉ)",2021A00052408015,Subdivision de recensement,00000,375,,355,,0,,10,,5,,5,,35,,30,,110,,20,,375,,90,,330,,325,,34400,,330,,135,,33.3,
2408023,"Sainte-Félicité, Municipalité (MÉ)",2021A00052408023,Subdivision de recensement,00000,1100,,935,,0,,30,,5,,10,,60,,55,,315,,40,,1075,,170,,865,,865,,41300,,865,,315,,49.7,
2408030,"Saint-Adelme, Paroisse (municipalité de) (PE)",2021A00052408030,Subdivision de recensement,00000,484,,415,,0,,15,,0,,0,,25,,35,,140,,15,,485,,70,,420,,405,,45000,,420,,110,,42.9,
2408035,"Saint-René-de-Matane, Municipalité (MÉ)",2021A00052408035,Subdivision de recensement,00000,961,,835,,5,,25,,5,,10,,50,,40,,300,,40,,960,,165,,830,,830,,43100,,830,,270,,48.2,
