x_m,y_m,ecart_c
-207652.5,320107.5,12.162636756896973
-207592.5,320107.5,7.831392765045166
-207532.5,320107.5,6.329997539520264
-207472.5,320107.5,12.926203727722168
-207412.5,320107.5,13.978052139282227
-207352.5,320107.5,14.90014934539795
-207292.5,320107.5,14.131832122802734
-207232.5,320107.5,13.940781593322754
-207172.5,320107.5,14.981420516967773
-207112.5,320107.5,13.295378684997559
-207052.5,320107.5,14.063558578491211
-206992.5,320107.5,13.746576309204102
-206932.5,320107.5,13.71827507019043
-206872.5,320107.5,9.964130401611328
-206812.5,320107.5,13.448046684265137
-206752.5,320107.5,11.306839942932129
-206692.5,320107.5,13.21319580078125
-206632.5,320107.5,13.544781684875488
-206572.5,320107.5,14.541980743408203
-206512.5,320107.5,13.168159484863281
-206452.5,320107.5,9.57843017578125
-206392.5,320107.5,9.57147216796875
-206332.5,320107.5,11.306798934936523
-206272.5,320107.5,7.830246925354004
-206212.5,320107.5,8.207603454589844
-206152.5,320107.5,8.374734878540039
-206092.5,320107.5,7.8133087158203125
-206032.5,320107.5,13.439608573913574
-205972.5,320107.5,8.225434303283691
-205912.5,320107.5,7.215555667877197
-211672.5,320047.5,15.571871757507324
-211612.5,320047.5,16.88652992248535
-211552.5,320047.5,14.031939506530762
-211492.5,320047.5,14.587903022766113
-211432.5,320047.5,15.59519100189209
-211372.5,320047.5,13.139927864074707
-211312.5,320047.5,14.235478401184082
-211252.5,320047.5,10.616657257080078
-211192.5,320047.5,14.476250648498535
-211132.5,320047.5,14.55854606628418
-211072.5,320047.5,17.271347045898438
-211012.5,320047.5,15.348891258239746
-210952.5,320047.5,16.037382125854492
-210892.5,320047.5,16.418498992919922
-210832.5,320047.5,16.353357315063477
-210772.5,320047.5,12.470210075378418
-210712.5,320047.5,8.83631420135498
-210652.5,320047.5,11.060789108276367
-210592.5,320047.5,12.123907089233398
-210532.5,320047.5,9.714573860168457
-210472.5,320047.5,11.222212791442871
-210412.5,320047.5,11.624822616577148
-210352.5,320047.5,9.655808448791504
-210292.5,320047.5,12.755640983581543
-210232.5,320047.5,10.711788177490234
-210172.5,320047.5,8.324045181274414
-210112.5,320047.5,9.845562934875488
-210052.5,320047.5,13.803821563720703
-209992.5,320047.5,12.703326225280762
-209932.5,320047.5,13.829949378967285
-209872.5,320047.5,13.403990745544434
-209812.5,320047.5,7.861462116241455
-209752.5,320047.5,7.820037364959717
-209692.5,320047.5,8.788286209106445
-209632.5,320047.5,11.692072868347168
-209572.5,320047.5,11.736767768859863
-209512.5,320047.5,9.43500804901123
-209452.5,320047.5,9.1782865524292
-209392.5,320047.5,10.63411808013916
-209332.5,320047.5,14.168478965759277
-209272.5,320047.5,14.060503959655762
-209212.5,320047.5,14.047955513000488
-209152.5,320047.5,15.25308609008789
-209092.5,320047.5,14.32904052734375
-209032.5,320047.5,13.981525421142578
-208972.5,320047.5,13.66376781463623
-208912.5,320047.5,13.83901596069336
-208852.5,320047.5,13.133901596069336
-208792.5,320047.5,15.541797637939453
-208732.5,320047.5,13.72420597076416
-208672.5,320047.5,11.591005325317383
-208612.5,320047.5,16.492130279541016
-208552.5,320047.5,14.526389122009277
-208492.5,320047.5,11.657411575317383
-208432.5,320047.5,14.00921630859375
-208372.5,320047.5,12.906105041503906
-208312.5,320047.5,12.250055313110352
-208252.5,320047.5,7.844581127166748
-208192.5,320047.5,11.293706893920898
-208132.5,320047.5,13.143245697021484
